,runid,N,E,m,B,H,rocauc,entropy,ccm,ccM,bias1,bias2,bias1_towards,bias2_towards,pseeds,crawled,supernode,pseeds_,ntours,mean_length_tour,min_length_tour,max_length_tour,mean_length_tour_0,mean_length_tour_1,b0,b1,h00,h11,h01,h10,B0,B1,H00,H11,H01,H10,h,precise_pseeds
21,1,2000,39600,20,0.3,0.4,0.886917928848186,0.3515497518371609,0.7,0.8754491017964072,0.4443177499049791,-0.11136450019004186,majority,majority,0.4,625,200,,100,11.53,1,47,10.971428571428572,12.833333333333334,0.68,0.32,0.4,0.08,0.23,0.29,0.7,0.3,0.41,0.07,0.23,0.29,0.48,0.41
22,1,2000,78400,40,0.5,0.2,1.0,-5.020034895124027e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,557,200,,100,10.33,1,56,9.448275862068966,11.547619047619047,0.5,0.5,0.12,0.1,0.4,0.38,0.5,0.5,0.11,0.1,0.4,0.39,0.21000000000000002,0.38
23,1,2000,78400,40,0.1,0.2,0.9980878314211648,0.012455917797024684,0.9594594594594594,0.99335232668566,0.4913220343438459,-0.017355931312308184,unbiased,unbiased,0.4,673,200,,100,13.48,1,60,13.297872340425531,16.333333333333332,0.86,0.14,0.01,0.38,0.49,0.11,0.9,0.1,0.01,0.47,0.43,0.09,0.48,0.44
24,1,2000,39600,20,0.1,0.8,0.9910771321780496,0.19803968163183908,0.2518518518518519,0.9733944954128441,0.20555201198036552,-0.5888959760392689,majority,majority,0.4,575,200,,100,10.85,1,57,11.011111111111111,9.4,0.92,0.08,0.91,0.01,0.07,0.01,0.9,0.1,0.88,0.02,0.08,0.02,0.9,0.39
25,1,2000,39600,20,0.1,0.9,0.9999884601847524,0.00871141480026315,0.9795918367346939,1.0,0.4948453608247423,-0.010309278350515476,unbiased,unbiased,0.3,474,200,,100,9.36,1,49,9.619565217391305,6.375,0.92,0.08,0.92,0.02,0.05,0.01,0.9,0.1,0.89,0.04,0.06,0.01,0.93,0.34
26,1,2000,7984,4,0.1,0.7,0.6101673216002675,0.23979941704623206,0.11184210526315785,0.9023034154090548,0.11028210743269352,-0.7794357851346131,majority,majority,0.3,389,200,,100,8.49,1,41,8.726315789473684,4.0,0.92,0.08,0.89,0.01,0.07,0.03,0.9,0.1,0.87,0.02,0.08,0.03,0.89,0.29
27,1,2000,7984,4,0.5,0.4,0.6855389256294233,0.40343166657179186,0.6569230769230769,0.5972850678733032,0.5237751641532579,0.04755032830651565,minority,unbiased,0.3,487,200,,100,10.88,1,49,7.822222222222222,13.381818181818181,0.49,0.51,0.18,0.21,0.3,0.31,0.5,0.5,0.19,0.2,0.3,0.3,0.39,0.34
28,1,2000,39600,20,0.5,0.5,0.4780588907947399,0.888361934264668,0.4951298701298701,0.4795597484276729,0.5079872204472844,0.0159744408945687,unbiased,unbiased,0.4,548,200,,100,10.53,1,62,9.040816326530612,11.96078431372549,0.49,0.51,0.26,0.23,0.25,0.26,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.37
29,1,2000,7984,4,0.5,0.8,0.9759211317695667,0.10040488581910414,0.8599670510708401,0.8285714285714285,0.5092966855295069,0.01859337105901375,unbiased,unbiased,0.4,563,200,,100,12.42,1,83,11.363636363636363,13.25,0.48,0.52,0.38,0.42,0.09,0.11,0.5,0.5,0.39,0.41,0.09,0.11,0.8,0.38
30,1,2000,7984,4,0.1,0.8,0.7656897472343178,0.23906681098480084,0.12598425196850394,0.9111747851002865,0.12147052425494888,-0.7570589514901023,majority,majority,0.4,626,200,,100,14.49,1,78,14.177777777777777,17.3,0.91,0.09,0.02,0.9,0.01,0.07,0.9,0.1,0.02,0.88,0.02,0.08,0.9,0.41
