,runid,N,E,m,B,H,rocauc,entropy,ccm,ccM,bias1,bias2,bias1_towards,bias2_towards,pseeds,crawled,supernode,pseeds_,ntours,mean_length_tour,min_length_tour,max_length_tour,mean_length_tour_0,mean_length_tour_1,b0,b1,h00,h11,h01,h10,B0,B1,H00,H11,H01,H10,h,precise_pseeds
51,1,2000,78400,40,0.1,0.8,0.9999362212357774,0.023792145967556185,0.9148936170212766,0.9991007194244604,0.478002259254446,-0.04399548149110794,majority,unbiased,0.4,547,200,,100,10.22,1,51,10.333333333333334,9.736842105263158,0.92,0.08,0.91,0.01,0.07,0.01,0.9,0.1,0.88,0.02,0.08,0.02,0.9,0.37
52,1,2000,78400,40,0.3,0.1,1.0,-2.424674054391223e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.3,505,200,,100,9.61,1,40,8.075,10.633333333333333,0.59,0.41,0.09,0.04,0.28,0.59,0.7,0.3,0.11,0.03,0.28,0.59,0.14,0.35
53,1,2000,39600,20,0.1,0.1,0.9988519719070772,0.00012469998577588486,1.0,0.9951377633711507,0.5012185215272137,0.0024370430544273227,unbiased,unbiased,0.3,470,200,,100,10.47,1,52,10.202380952380953,11.875,0.84,0.16,0.19,0.01,0.15,0.65,0.9,0.1,0.25,0.0,0.1,0.65,0.25,0.34
54,1,2000,39465,20,0.3,1.0,1.0,-1.594836243608017e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.3,477,200,,100,10.51,1,50,8.317073170731707,12.033898305084746,0.43,0.57,0.75,0.25,0.0,0.0,0.7,0.3,0.3,0.7,0.0,0.0,1.0,0.34
55,1,2000,78400,40,0.5,0.1,1.0,-5.392539735849209e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.5,743,200,,100,14.11,1,85,14.384615384615385,11.333333333333334,0.54,0.46,0.08,0.05,0.43,0.44,0.5,0.5,0.06,0.05,0.45,0.44,0.11,0.47
56,1,2000,78400,40,0.5,0.9,1.0,-4.317046703897021e-06,1.0,1.0,0.5,0.0,unbiased,unbiased,0.4,526,200,,100,10.02,1,45,9.5,10.077777777777778,0.38,0.62,0.61,0.27,0.05,0.07,0.5,0.5,0.44,0.45,0.05,0.06,0.89,0.36
57,1,2000,39600,20,0.1,0.2,0.9956871765382403,0.0020247031819312666,0.9864864864864865,0.9875886524822695,0.4997208399077558,-0.0005583201844883719,unbiased,unbiased,0.4,598,200,,100,12.32,1,52,10.671052631578947,17.541666666666668,0.84,0.16,0.35,0.02,0.12,0.51,0.9,0.1,0.44,0.01,0.09,0.46,0.45,0.4
58,1,2000,39248,20,0.3,0.0,1.0,0.0036910507319354263,0.9888888888888889,1.0,0.49720670391061456,-0.00558659217877093,unbiased,unbiased,0.4,674,200,,100,14.28,1,84,14.973684210526315,13.85483870967742,0.62,0.38,0.0,0.0,0.74,0.26,0.7,0.3,0.0,0.0,0.7,0.3,0.0,0.44
59,1,2000,39600,20,0.5,0.8,1.0,0.002050934750684225,0.9961832061068703,0.9971751412429378,0.49975118996105583,-0.0004976200778883205,unbiased,unbiased,0.4,568,200,,100,11.26,1,62,16.272727272727273,10.640449438202246,0.38,0.62,0.53,0.26,0.08,0.12,0.5,0.5,0.39,0.41,0.09,0.11,0.8,0.38
60,1,2000,78400,40,0.5,0.5,0.5132058492688414,1.2871618250582997,0.4714285714285714,0.5496062992125984,0.46171642613198194,-0.07656714773603612,majority,majority,0.4,605,200,,100,10.79,1,37,11.5,10.775510204081632,0.45,0.55,0.28,0.22,0.24,0.26,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.4
